Date,Instrument Name,Symbol,Expiry Date,Option Type,Strike Price,Open,High,Low,Close,Volume(Lots),Volume(In 000's)
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,760,0,0,0,13.01,13.01,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,600,0,0,0,156.62,156.62,0
04/30/2021,OPTFUT,COPPER       ,20MAY2021,CE,560,0,0,0,196.54,196.54,0
04/30/2021,FUTCOM,COPPER       ,31MAY2021,-,0,756.55,764.1,751.8,754.1,756.95,15561
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,705,0,0,0,5.89,5.89,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,630,0,0,0,0.21,0.21,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,645,0,0,0,0.48,0.48,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,765,0,0,0,27.87,27.87,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,670,0,0,0,1.57,1.57,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,730,0,0,0,12.38,12.38,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,700,0,0,0,63.18,63.18,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,665,0,0,0,94.27,94.27,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,625,0,0,0,132.95,132.95,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,655,0,0,0,103.74,103.74,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,775,0,0,0,17.31,17.31,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,680,0,0,0,80.46,80.46,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,740,0,0,0,34.4,34.4,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,685,0,0,0,76.01,76.01,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,745,0,0,0,18.05,18.05,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,635,0,0,0,0.28,0.28,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,660,0,0,0,98.98,98.98,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,780,0,0,0,15.5,15.5,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,710,0,0,0,6.92,6.92,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,675,0,0,0,85,85,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,735,0,0,0,37.49,37.49,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,650,0,0,0,108.54,108.54,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,770,0,0,0,19.28,19.28,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,670,0,0,0,89.6,89.6,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,730,0,0,0,40.73,40.73,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,645,0,0,0,113.38,113.38,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,765,0,0,0,21.4,21.4,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,725,0,0,0,44.12,44.12,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,640,0,0,0,118.24,118.24,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,760,0,0,0,23.68,23.68,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,710,0,0,0,55.17,55.17,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,745,0,0,0,31.48,31.48,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,CE,635,0,0,0,123.13,123.13,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,715,0,0,0,8.08,8.08,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,795,0,0,0,47.21,47.21,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,750,0,0,0,20.26,20.26,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,685,0,0,0,2.89,2.89,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,660,0,0,0,1,1,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,780,0,0,0,36.89,36.89,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,700,0,0,0,4.99,4.99,0
04/30/2021,OPTFUT,COPPER       ,21JUN2021,PE,665,0,0,0,1.26,1.26,0
