AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date, Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124518,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Regular Option-Quarterly Dividend Option,5000,18-Sep-2013,18-Sep-2013,INF179K010K0
SBI Funds Management Private Limited,124525,SBI DEBT FUND SERIES - 366 DAYS - 40,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 40 - DIRECT PLAN - GROWTH,5000,16-Sep-2013,17-Sep-2013,INF200K014T6
SBI Funds Management Private Limited,124526,SBI DEBT FUND SERIES - 366 DAYS - 40,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 40 - REGULAR PLAN - DIVIDEND,5000,16-Sep-2013,17-Sep-2013,INF200K013T8
SBI Funds Management Private Limited,124527,SBI DEBT FUND SERIES - 366 DAYS - 40,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 40 - DIRECT PLAN - DIVIDEND,5000,16-Sep-2013,17-Sep-2013,INF200K015T3
SBI Funds Management Private Limited,124528,SBI DEBT FUND SERIES - 366 DAYS - 40,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 40 - REGULAR PLAN - GROWTH,5000,16-Sep-2013,17-Sep-2013,INF200K012T0
SBI Funds Management Private Limited,124535,SBI DEBT FUND SERIES - 90 DAYS - 78,Close Ended,Income,SBI DEBT FUND SERIES - 90 DAYS - 78 - DIRECT PLAN - DIVIDEND,5000,19-Sep-2013,20-Sep-2013,INF200K01YD0
SBI Funds Management Private Limited,124536,SBI DEBT FUND SERIES - 90 DAYS - 78,Close Ended,Income,SBI DEBT FUND SERIES - 90 DAYS - 78 - REGULAR PLAN - DIVIDEND,5000,19-Sep-2013,20-Sep-2013,INF200K01OS9
SBI Funds Management Private Limited,124537,SBI DEBT FUND SERIES - 90 DAYS - 78,Close Ended,Income,SBI DEBT FUND SERIES - 90 DAYS - 78 - DIRECT PLAN - GROWTH,5000,19-Sep-2013,20-Sep-2013,INF200K01YC2
SBI Funds Management Private Limited,124538,SBI DEBT FUND SERIES - 90 DAYS - 78,Close Ended,Income,SBI DEBT FUND SERIES - 90 DAYS - 78 - REGULAR PLAN - GROWTH,5000,19-Sep-2013,20-Sep-2013,INF200K01OR1
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124546,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Direct Option-Flexi Option,5000,20-Sep-2013,24-Sep-2013,INF179K015K9
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124539,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Regular Option-Quarterly Dividend Option,5000,20-Sep-2013,24-Sep-2013,INF179K018K3
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124540,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Direct Option-Growth Option,5000,20-Sep-2013,24-Sep-2013,INF179KB1IY9
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124541,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Regular Option-Dividend Option,5000,20-Sep-2013,24-Sep-2013,INF179K017K5
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124542,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Direct Option-Dividend Option,5000,20-Sep-2013,24-Sep-2013,INF179KB1IZ6
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124543,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Direct Option-Quarterly Dividend Option,5000,20-Sep-2013,24-Sep-2013,INF179K014K2
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124545,HDFC FMP 742D September 2013 (1),Close Ended,Income,HDFC FMP 742D September 2013 (1)-Regular Option-Growth Option,5000,20-Sep-2013,24-Sep-2013,INF179KB1JC3
ICICI Prudential Asset Management Company Limited,124582,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan K,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan K - Direct Plan - Cumulative,5000,25-Sep-2013,,INF109KA1V04
ICICI Prudential Asset Management Company Limited,124584,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan K,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan K - Cumulative,5000,25-Sep-2013,,INF109KA1V20
ICICI Prudential Asset Management Company Limited,124591,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L - Direct Plan - Cumulative,5000,27-Sep-2013,,INF109KA1Z59
ICICI Prudential Asset Management Company Limited,124593,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L - Cumulative,5000,27-Sep-2013,,INF109KA1Z75
ICICI Prudential Asset Management Company Limited,124594,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-372 Days Plan L - Dividend,5000,27-Sep-2013,,INF109KA1Z83
ICICI Prudential Asset Management Company Limited,124647,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan P,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan P - Direct Plan - Cumulative,5000,03-Oct-2013,,INF109KB1OL9
ICICI Prudential Asset Management Company Limited,124649,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan P,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan P - Cumulative,5000,03-Oct-2013,,INF109KB1OJ3
ICICI Prudential Asset Management Company Limited,124650,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan P,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan P - Dividend,5000,03-Oct-2013,,INF109KB1OK1
ICICI Prudential Asset Management Company Limited,124651,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M - Cumulative,5000,30-Sep-2013,,INF109KA1Z34
ICICI Prudential Asset Management Company Limited,124652,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M - Dividend,5000,30-Sep-2013,,INF109KA1Z42
ICICI Prudential Asset Management Company Limited,124653,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-368 Days Plan M - Direct Plan - Cumulative,5000,30-Sep-2013,,INF109KA1Z18
Nippon Life India Asset Management Limited,124678,Reliance Interval Fund - II - Series 1,Open Ended,Income,Reliance Interval Fund - II - Series 1 -Growth Plan,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA1AL3
Nippon Life India Asset Management Limited,124679,Reliance Interval Fund - II - Series 1,Open Ended,Income,Reliance Interval Fund - II - Series 1 -Direct Plan -Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA1AI9
Nippon Life India Asset Management Limited,124680,Reliance Interval Fund - II - Series 1,Open Ended,Income,Reliance Interval Fund - II - Series 1 -Direct Plan -Dividend Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA1AG3INF204KA1AH1
Nippon Life India Asset Management Limited,124681,Reliance Interval Fund - II - Series 1,Open Ended,Income,Reliance Interval Fund - II - Series 1 -Dividend Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA1AJ7INF204KA1AK5
Nippon Life India Asset Management Limited,124706,Reliance Fixed Horizon Fund - XXIV - Series 22,Close Ended,Income,Reliance Fixed Horizon Fund - XXIV - Series 22 - Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA18D6
Nippon Life India Asset Management Limited,124707,Reliance Fixed Horizon Fund - XXIV - Series 22,Close Ended,Income,Reliance Fixed Horizon Fund - XXIV - Series 22 - Direct Plan - Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA10E1
Nippon Life India Asset Management Limited,124708,Reliance Fixed Horizon Fund - XXIV - Series 22,Close Ended,Income,Reliance Fixed Horizon Fund - XXIV - Series 22 - Direct Plan - Dividend Payout Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA11E9
Nippon Life India Asset Management Limited,124709,Reliance Fixed Horizon Fund - XXIV - Series 22,Close Ended,Income,Reliance Fixed Horizon Fund - XXIV - Series 22 - Dividend Payout Option,Rs 5000 and in multiples of Re. 1 thereafter,03-Oct-2013,,INF204KA19D4
ICICI Prudential Asset Management Company Limited,124718,ICICI Prudential Fixed Maturity Plan-Series 70-367 Days Plan N,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-367 Days Plan N - Direct Plan - Cumulative,5000,04-Oct-2013,,INF109KA1Y84
ICICI Prudential Asset Management Company Limited,124720,ICICI Prudential Fixed Maturity Plan-Series 70-367 Days Plan N,Close Ended,Income,ICICI Prudential Fixed Maturity Plan-Series 70-367 Days Plan N - Cumulative,5000,04-Oct-2013,,INF109KA1Z91
SBI Funds Management Private Limited,124727,SBI DEBT FUND SERIES - 366 DAYS - 41,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 41 - REGULAR PLAN - DIVIDEND,5000,23-Sep-2013,23-Sep-2013,INF200K018T7
SBI Funds Management Private Limited,124728,SBI DEBT FUND SERIES - 366 DAYS - 41,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 41 - DIRECT PLAN - GROWTH,5000,23-Sep-2013,23-Sep-2013,INF200K019T5
SBI Funds Management Private Limited,124729,SBI DEBT FUND SERIES - 366 DAYS - 41,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 41 - REGULAR PLAN - GROWTH,5000,23-Sep-2013,23-Sep-2013,INF200K016T1
SBI Funds Management Private Limited,124726,SBI DEBT FUND SERIES - 366 DAYS - 41,Close Ended,Income,SBI DEBT FUND SERIES - 366 DAYS - 41 - DIRECT PLAN - DIVIDEND,5000,23-Sep-2013,23-Sep-2013,INF200K010U2
Nippon Life India Asset Management Limited,124748,Reliance Interval Fund - II - Series 2,Open Ended,Income,Reliance Interval Fund - II - Series 2 - Growth Plan - Growth Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AR0
Nippon Life India Asset Management Limited,124749,Reliance Interval Fund - II - Series 2,Open Ended,Income,Reliance Interval Fund - II - Series 2 - Direct Plan - Growth Plan - Growth Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AO7
Nippon Life India Asset Management Limited,124750,Reliance Interval Fund - II - Series 2,Open Ended,Income,Reliance Interval Fund - II - Series 2 - Dividend Plan - Dividend Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AP4INF204KA1AQ2
Nippon Life India Asset Management Limited,124751,Reliance Interval Fund - II - Series 2,Open Ended,Income,Reliance Interval Fund - II - Series 2 - Direct Plan - Dividend Plan - Dividend Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AM1INF204KA1AN9
Nippon Life India Asset Management Limited,124752,Reliance Interval Fund - II - Series 3,Open Ended,Income,Reliance Interval Fund - II - Series 3 - Growth Plan - Growth Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AX8
Nippon Life India Asset Management Limited,124753,Reliance Interval Fund - II - Series 3,Open Ended,Income,Reliance Interval Fund - II - Series 3 - Direct Plan - Growth Plan - Growth Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AU4
Nippon Life India Asset Management Limited,124754,Reliance Interval Fund - II - Series 3,Open Ended,Income,Reliance Interval Fund - II - Series 3 - Dividend Plan - Dividend Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AV2INF204KA1AW0
Nippon Life India Asset Management Limited,124755,Reliance Interval Fund - II - Series 3,Open Ended,Income,Reliance Interval Fund - II - Series 3 - Direct Plan - Dividend Plan - Dividend Option,Rs. 5000/- and in multiples of Re.1/- thereafter,07-Oct-2013,,INF204KA1AS8INF204KA1AT6
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124770,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Regular Option - Growth Option,5000,01-Oct-2013,03-Oct-2013,INF179KA1ZL1
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124771,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Regular Option - Dividend Option,5000,01-Oct-2013,03-Oct-2013,INF179KA1ZE6
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124772,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Regular Option - Quarterly Dividend Option,5000,01-Oct-2013,03-Oct-2013,INF179K012N0
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124773,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Regular Option - Flexi Option,5000,01-Oct-2013,03-Oct-2013,INF179KA1ZK3
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124774,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Direct Option - Growth Option,5000,01-Oct-2013,03-Oct-2013,INF179KA1ZH9
