CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCUREURINR28-SEP-2021CE82.25,9.6025000,0.0000,0.0000,0.0000,8.2100,9.2200,0.38,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021CE82.25,8.4375000,0.0000,0.0000,0.0000,7.3000,8.0475,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021CE82.25,8.3075000,0.0000,0.0000,0.0000,5.2850,7.9150,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021PE82.25,0.0025000,0.0000,0.0000,0.0000,0.0750,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR11-JUN-2021PE82.5,0.0025000,0.0000,0.0000,0.0000,0.0850,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR14-MAY-2021CE82.5,7.6075000,0.0000,0.0000,0.0000,6.6375,7.2150,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR21-MAY-2021CE82.5,7.7050000,0.0000,0.0000,0.0000,7.1875,7.3100,0.40,0,0,0,,0.0000000,0.0000000
OPTCUREURINR29-DEC-2021PE82.5,0.1075000,0.0000,0.0000,0.0000,0.2125,0.1225,0.02,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-MAY-2021PE82.5,0.0025000,0.0000,0.0000,0.0000,0.0450,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021CE82.5,8.0600000,0.0000,0.0000,0.0000,5.0525,7.6675,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR27-MAY-2021CE82.5,7.7875000,0.0000,0.0000,0.0000,7.0400,7.3950,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR29-MAR-2022PE82.5,0.1525000,0.0000,0.0000,0.0000,0.3575,0.1700,0.02,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-MAY-2021CE82.5,7.8025000,0.0000,0.0000,0.0000,6.3875,7.4075,0.40,0,0,0,,0.0000000,0.0000000
OPTCUREURINR29-MAR-2022CE82.5,11.6800000,0.0000,0.0000,0.0000,8.6975,11.3125,0.37,0,0,0,,0.0000000,0.0000000
OPTCUREURINR04-JUN-2021CE82.5,7.8750000,0.0000,0.0000,0.0000,5.5325,7.4825,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR25-JUN-2021CE82.5,8.1525000,0.0000,0.0000,0.0000,7.0850,7.7600,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021CE82.5,8.1925000,0.0000,0.0000,0.0000,7.1175,7.8000,0.39,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR27-MAY-2021CE75,0.2400000,0.2450,0.2675,0.2050,0.2375,0.2375,0.00,186443,85580,85580,,6438227162.5000000,19727162.5000000
OPTCURUSDINR02-JUL-2021CE75,0.7550000,0.0000,0.0000,0.0000,1.4000,0.7200,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR11-JUN-2021CE75,0.5100000,0.0000,0.0000,0.0000,0.3625,0.4800,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR29-MAR-2022CE75,3.3425000,0.0000,0.0000,0.0000,2.8400,3.3025,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR21-MAY-2021PE75,0.9000000,0.0000,0.0000,0.0000,1.7900,0.9300,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR04-JUN-2021CE75,0.4250000,0.0000,0.0000,0.0000,0.5025,0.3950,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-SEP-2021PE75,1.0400000,0.0000,0.0000,0.0000,1.2200,1.0575,0.02,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR04-JUN-2021PE75,0.9425000,0.0000,0.0000,0.0000,1.5800,0.9675,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR16-JUL-2021PE75,0.0000000,0.0000,0.0000,0.0000,1.0000,1.0250,0.00,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR29-MAR-2022PE75,0.9900000,0.0000,0.0000,0.0000,0.6275,1.0000,0.01,10,0,0,,0.0000000,0.0000000
OPTCURUSDINR09-JUL-2021CE75,0.8350000,0.0000,0.0000,0.0000,1.4350,0.7975,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-SEP-2021CE75,1.6600000,0.0000,0.0000,0.0000,3.0600,1.6200,0.04,0,0,0,,0.0000000,0.0000000
