CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-JAN-2022,94.30,0.0000,0.0000,0.0000,93.7975,94.2275,-0.08,0,0,0,0.0000000
FUTCUREURINR29-DEC-2021,93.90,0.0000,0.0000,0.0000,94.5000,93.8175,-0.09,0,0,0,0.0000000
FUTCUREURINR04-JUN-2021,91.07,0.0000,0.0000,0.0000,88.0325,90.9600,-0.12,0,0,0,0.0000000
FUTCUREURINR30-APR-2021,90.45,90.5825,90.6925,90.3325,90.3600,90.3600,-0.10,914,1149,1149,103974120.0000000
FUTCUREURINR28-JUL-2021,91.57,91.6525,91.7700,91.5000,91.5175,91.5175,-0.06,5914,1699,1699,155706092.5000000
FUTCUREURINR11-JUN-2021,91.17,0.0000,0.0000,0.0000,87.8800,91.0600,-0.12,0,0,0,0.0000000
FUTCUREURINR28-SEP-2021,92.63,0.0000,0.0000,0.0000,92.0000,92.5300,-0.11,172,0,0,0.0000000
FUTCUREURINR09-JUL-2021,91.54,0.0000,0.0000,0.0000,91.5725,91.4475,-0.10,0,0,0,0.0000000
FUTCUREURINR02-JUL-2021,91.45,0.0000,0.0000,0.0000,90.8375,91.3475,-0.11,0,0,0,0.0000000
FUTCUREURINR28-APR-2021,90.45,90.5500,90.7275,90.3600,90.3825,90.3825,-0.07,84931,122501,122501,11087936875.0000000
FUTCUREURINR29-MAR-2022,95.15,0.0000,0.0000,0.0000,91.3825,95.0950,-0.06,0,0,0,0.0000000
FUTCUREURINR28-JUN-2021,91.22,91.2600,91.4875,91.1300,91.1625,91.1625,-0.07,35287,5030,5030,459169542.5000000
FUTCUREURINR25-JUN-2021,91.35,0.0000,0.0000,0.0000,89.6400,91.2600,-0.10,0,0,0,0.0000000
FUTCUREURINR27-OCT-2021,93.02,0.0000,0.0000,0.0000,92.2400,92.9350,-0.09,150,0,0,0.0000000
FUTCUREURINR28-MAY-2021,90.75,90.9225,91.0200,90.6900,90.6950,90.6950,-0.06,1886,838,838,76100137.5000000
FUTCURUSDINR27-JAN-2022,77.55,77.4075,77.4500,77.2525,77.2975,77.2975,-0.33,64569,580,580,44864735.0000000
FUTCURUSDINR28-JUN-2021,75.65,75.6500,75.6500,75.3200,75.3725,75.3725,-0.36,331913,68482,68482,5164168080.0000000
FUTCURUSDINR29-DEC-2021,77.32,77.4750,77.4775,77.0000,77.0475,77.0475,-0.35,86167,1336,1336,102942842.5000000
FUTCURUSDINR28-SEP-2021,76.45,76.3500,76.3550,76.1450,76.1925,76.1925,-0.33,45982,1881,1881,143376605.0000000
FUTCURUSDINR27-AUG-2021,76.20,76.0000,76.0800,75.8700,75.9350,75.9350,-0.35,87852,11704,11704,888720032.5000000
FUTCURUSDINR28-APR-2021,75.05,74.8475,74.9500,74.7125,74.7875,74.7875,-0.35,2711978,2226836,2226836,166584254937.5000000
FUTCURUSDINR29-MAR-2022,78.14,77.9325,78.0025,77.8025,77.8775,77.8775,-0.34,89679,2685,2685,209174752.5000000
FUTCURUSDINR28-JUL-2021,75.94,75.7325,75.8825,75.6000,75.6500,75.6500,-0.38,84484,5453,5453,412675505.0000000
FUTCURUSDINR27-MAY-2021,75.35,75.2825,75.2825,75.0125,75.0775,75.0775,-0.36,1997751,733586,733586,55098119102.5000000
FUTCURUSDINR27-OCT-2021,76.74,76.5500,76.6300,76.4300,76.5000,76.5400,-0.26,35803,625,625,47799887.5000000
