CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURGBPUSD28-JUN-2021PE1.195,0.0004000,0.0000,0.0000,0.0000,0.0423,0.0004,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.195,0.0000000,0.0000,0.0000,0.0000,0.1043,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021CE1.195,0.0173000,0.0000,0.0000,0.0000,0.0325,0.0159,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021CE1.195,0.0210000,0.0000,0.0000,0.0000,0.0147,0.0196,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021CE1.195,0.0295000,0.0000,0.0000,0.0000,0.0305,0.0281,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021CE1.195,0.0368000,0.0000,0.0000,0.0000,0.0592,0.0354,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021CE1.195,0.0069000,0.0000,0.0000,0.0000,0.0325,0.0056,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021CE1.195,0.0132000,0.0000,0.0000,0.0000,0.0332,0.0119,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.195,0.0329000,0.0000,0.0000,0.0000,0.0244,0.0340,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021PE1.195,0.0100000,0.0000,0.0000,0.0000,0.1155,0.0112,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.195,0.0189000,0.0000,0.0000,0.0000,0.0103,0.0200,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021PE1.195,0.0283000,0.0000,0.0000,0.0000,0.0526,0.0294,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.195,0.0218000,0.0000,0.0000,0.0000,0.0799,0.0230,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.195,0.0156000,0.0000,0.0000,0.0000,0.0102,0.0168,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.2,0.1923000,0.0000,0.0000,0.0000,0.1063,0.1913,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.2,0.1888000,0.0000,0.0000,0.0000,0.1121,0.1879,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.2,0.1897000,0.0000,0.0000,0.0000,0.0892,0.1887,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021CE1.2,0.0110000,0.0000,0.0000,0.0000,0.0299,0.0098,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021CE1.2,0.0150000,0.0000,0.0000,0.0000,0.0293,0.0137,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021CE1.2,0.0050000,0.0000,0.0000,0.0000,0.0311,0.0039,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021CE1.2,0.0272000,0.0000,0.0000,0.0000,0.0286,0.0258,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021CE1.2,0.0186000,0.0000,0.0000,0.0000,0.0135,0.0174,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021CE1.2,0.0343000,0.0000,0.0000,0.0000,0.0562,0.0330,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.2,0.0245000,0.0000,0.0000,0.0000,0.0836,0.0257,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.2,0.0216000,0.0000,0.0000,0.0000,0.0121,0.0229,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021PE1.2,0.0131000,0.0000,0.0000,0.0000,0.1190,0.0145,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.2,0.0354000,0.0000,0.0000,0.0000,0.0263,0.0366,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021PE1.2,0.0309000,0.0000,0.0000,0.0000,0.0557,0.0321,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.2,0.0184000,0.0000,0.0000,0.0000,0.0119,0.0197,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021PE1.2,0.0005000,0.0000,0.0000,0.0000,0.0444,0.0005,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.2,0.0000000,0.0000,0.0000,0.0000,0.1069,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.2,0.0028000,0.0000,0.0000,0.0000,0.0323,0.0028,0.00,0,0,0,,0.0000000,0.0000000
