SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1329.25,1333,1314,1316.05,1314,1318.4,199,800,1057155,
500003,AEGIS LOGIS ,A ,Q,189.9,189.9,182.05,183.4,183,186.05,564,10230,1899725,
500008,AMAR RAJA BA,A ,Q,630,630,617.2,620.7,622.75,622.2,328,10706,6658915,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
532430,BF UTILI    ,B ,Q,157.1,162.5,156.45,158.7,158.7,155.75,819,26856,4276979,
532432,UNITD SPR   ,B ,Q,608.5,613.55,600,606.4,606.4,612.65,1448,83675,50769190,
532439,OLECTRA     ,B ,Q,156,160.4,156,157.35,158,152.15,299,2087,329320,
532440,MPS LTD     ,B ,Q,472.35,479.9,459.5,479.4,479.9,469.55,44,341,161315,
532443,CERA SANITAR,A ,Q,2355.9,2473,2355.9,2406.95,2395,2404,14,16,38461,
532444,T. SPIRITUAL,XT,Q,0.53,0.53,0.53,0.53,0.53,0.53,1,10,5,
532454,BHARTI ARTL ,A ,Q,349.95,349.95,340.95,347.65,347.2,345.95,1491,107147,37014206,
532455,SHALIMAR WIR,X ,Q,7.5,7.5,7.5,7.5,7.5,7.47,1,100,750,
532456,COMPUAGE INF,B ,Q,9.09,9.45,8.7,9.12,9.06,8.86,96,82598,768779,
532457,GULSHAN POLY,B ,Q,49,49,47.8,47.8,47.8,49.15,13,746,35869,
532459,AUNDEFAZE   ,X ,Q,15.87,15.87,15.87,15.87,15.87,15.12,1,100,1587,
532461,PUNJAB NATIO,A ,Q,61.8,61.95,60.5,61.1,61.1,59.9,4780,1963111,120036532,
532466,ORACLE FIN  ,A ,Q,3041.9,3053,3038.05,3042.1,3040.65,3064.25,80,361,1099277,
532467,HAZ MUL PRO ,X ,Q,0.63,0.63,0.63,0.63,0.63,0.65,1,237,149,
532468,KAMAHOLDING ,B ,Q,5000,5000,5000,5000,5000,4950,2,4,20000,
532475,APTECH LTD  ,B ,Q,126,128.2,124,124.7,124.5,122.95,263,10082,1266423,
532477,UNION BANK L,A ,Q,54.2,54.85,53.15,54.5,54.5,53.7,1330,707572,38309306,
532478,UNITED BREWA,A ,Q,1335,1338.85,1313.55,1320.1,1324.1,1330.1,463,10819,14398393,
532479,ISMT LTD    ,B ,Q,4.99,4.99,4.61,4.61,4.61,4.56,12,3526,16523,
532480,ALLAHABAD BK,A ,Q,33.5,33.75,33.2,33.3,33.2,33.3,314,95588,3202145,
532481,NOIDA-TOLL B,B ,Q,4.8,5.28,4.61,5.28,5.28,4.8,136,114996,598573,
532482,GRANULES (I),A ,Q,92.2,93,91.65,92.4,92.4,91.5,173,10822,998635,
532483,CANARA BANK ,A ,Q,194.7,195,190.35,191.6,191.6,192.95,2995,439999,84670583,
532485,BALMER LA.IN,B ,Q,430,431,427,428.05,429.45,426.35,493,29987,12849242,
532486,POKARNA LTD ,B ,Q,125.1,126.9,122.1,124.5,122.1,125.05,411,2413,300594,
532488,DIVI'S LAB. ,A ,Q,1663,1663.7,1634.9,1638.3,1637.35,1664.5,637,8835,14553535,
532493,ASTRA MICRO ,B ,Q,81.9,81.9,76.15,76.25,76.15,78.4,730,38751,3064330,
532497,RADICOKHAIT ,A ,Q,302.4,305.5,300.1,301.95,301.85,299.65,434,13930,4215625,
532500,MARUTISUZUK ,A ,Q,5803.3,5995,5790,5970.3,5970.3,5829.75,8998,77149,456213751,
532503,RAJAPAMILLS ,X ,Q,795.95,809,772.1,801.2,801.55,793.6,94,2511,2003716,
532504,NAVIN FLUORI,A ,Q,726,726.15,705.95,707.1,708,721.6,306,2383,1713598,
532505,UCOBANK     ,A ,Q,15,15.1,14.85,14.9,14.95,15,155,26147,390397,
532507,BAG FIL MED ,B ,Q,2.24,2.29,2.11,2.18,2.2,2.21,117,78602,172059,
532508,JSL         ,B ,Q,30.7,30.7,29.8,30.3,30.3,30.05,88,16519,498856,
532509,SUPRAJIT ENG,B ,Q,160.35,160.8,155.9,158.85,158.85,159.85,31,248,39417,
532513,TVSELE      ,B ,Q,113.95,115.5,112.5,113.35,113.75,112.5,52,1376,157071,
532514,INDRA GAS   ,A ,Q,327.8,331.5,326,330.45,329.55,327.2,517,29260,9613704,
532515,TV TODAY    ,B ,Q,298.6,298.6,295.15,296.4,297,294.25,104,972,288380,
532522,PETRONET LNG,A ,Q,265.5,266.7,262.9,265.2,264.8,265.5,1541,1329297,352236084,
532523,BIOCON LTD. ,A ,Q,231.1,233.05,227.65,229.5,229.5,231.2,1443,121810,27968991,
532524,PTC INDIA   ,A ,Q,56.55,57.9,56.5,57.05,57.05,56.05,535,84969,4865667,
532525,BANK MAHA   ,B ,Q,12.06,12.1,11.97,12.03,12.07,12.08,129,49888,599733,
